time,voltage,elapse
1,2.879530022125582,1672570055.8261561
2,2.879530022125582,1672570055.9077008
3,2.879530022125582,1672570055.9894512
4,2.879530022125582,1672570056.0642478
5,2.816662851911193,1672570056.141457
6,2.816662851911193,1672570056.2240856
7,2.816662851911193,1672570056.2886481
8,2.816662851911193,1672570056.3667536
9,2.816662851911193,1672570056.421304
10,2.816662851911193,1672570056.4881449
11,2.816662851911193,1672570056.553974
12,2.816662851911193,1672570056.606828
13,2.816662851911193,1672570056.6676633
14,2.816662851911193,1672570056.7264786
15,2.816662851911193,1672570056.8077242
16,2.816662851911193,1672570056.8602097
17,2.816662851911193,1672570056.9269416
18,2.816662851911193,1672570057.0144
19,2.816662851911193,1672570057.0802267
20,2.816662851911193,1672570057.1649706
21,2.816662851911193,1672570057.2367935
22,2.816662851911193,1672570057.3155646
23,2.816662851911193,1672570057.3928528
24,2.816662851911193,1672570057.4522007
25,2.816662851911193,1672570057.527998
26,2.816662851911193,1672570057.5878356
27,2.816662851911193,1672570057.6457014
28,2.816662851911193,1672570057.7105088
29,2.816662851911193,1672570057.9019973
30,2.8886854352636,1672570058.0157325
31,2.8886854352636,1672570058.1343734
32,2.8886854352636,1672570058.210306
33,2.8886854352636,1672570058.2730043
34,2.8886854352636,1672570058.3233936
35,2.8886854352636,1672570058.3757331
36,2.8886854352636,1672570058.4595914
37,2.8886854352636,1672570058.5383797
38,2.8886854352636,1672570058.612053
39,2.8886854352636,1672570058.7212198
40,2.8886854352636,1672570058.79632
41,2.9747463187609675,1672570058.9141111
42,2.9747463187609675,1672570059.0140147
43,2.9747463187609675,1672570059.0835333
44,2.9747463187609675,1672570059.193793
45,2.9747463187609675,1672570059.304069
46,2.9747463187609675,1672570059.3569634
47,2.9747463187609675,1672570059.4419725
48,2.9747463187609675,1672570059.5514927
49,2.9747463187609675,1672570059.6114588
50,2.9747463187609675,1672570059.6890485
51,2.9747463187609675,1672570059.7551458
52,3.0495155260547797,1672570059.8245032
53,3.0495155260547797,1672570059.9259646
54,3.0495155260547797,1672570060.0275064
55,3.0495155260547797,1672570060.0889583
56,3.0495155260547797,1672570060.185697
57,3.0495155260547797,1672570060.2588868
58,3.0495155260547797,1672570060.3245099
59,3.0495155260547797,1672570060.3745432
